0x0000022530899CD0, 37692342432126224, 591327974, 591327979, 5, 960x540 
0x0000022530899CD0, 37692342433084312, 591328065, 591328069, 4, 960x540 
0x0000022530899CD0, 37692342434196080, 591328177, 591328182, 5, 960x540 
0x0000022530899CD0, 37692342435166592, 591328275, 591328280, 5, 960x540 
0x0000022530899CD0, 37692342436107040, 591328366, 591328369, 3, 960x540 
0x0000022530899CD0, 37692342437082144, 591328465, 591328468, 3, 960x540 
0x0000022530899CD0, 37692342438192976, 591328573, 591328577, 4, 960x540 
0x0000022530899CD0, 37692342439176352, 591328676, 591328680, 4, 960x540 
0x0000022530899CD0, 37692342440127000, 591328772, 591328778, 6, 960x540 
0x0000022530899CD0, 37692342441083288, 591328866, 591328870, 4, 960x540 
0x0000022530899CD0, 37692342442049664, 591328966, 591328970, 4, 960x540 
0x0000022530899CD0, 37692342443179512, 591329069, 591329075, 6, 960x540 
0x0000022530899CD0, 37692343547646864, 591439517, 591439536, 19, 320x180 
0x0000022530899CD0, 37692343548620160, 591439610, 591439615, 5, 320x180 
0x0000022530899CD0, 37692343549564296, 591439705, 591439709, 4, 320x180 
0x0000022530899CD0, 37692343550528152, 591439805, 591439809, 4, 320x180 
0x0000022530899CD0, 37692343551485336, 591439901, 591439905, 4, 320x180 
0x0000022530899CD0, 37692343552596080, 591440011, 591440013, 2, 320x180 
0x0000022530899CD0, 37692343553567816, 591440109, 591440113, 4, 320x180 
0x0000022530899CD0, 37692343554526608, 591440204, 591440207, 3, 320x180 
0x0000022530899CD0, 37692343555490416, 591440305, 591440309, 4, 320x180 
0x0000022530899CD0, 37692343556446304, 591440397, 591440400, 3, 320x180 
0x0000022530899CD0, 37692343557557200, 591440520, 591440523, 3, 320x180 
0x0000022530899CD0, 37692343558515960, 591440599, 591440602, 3, 320x180 
0x0000022530899CD0, 37692343559472656, 591440698, 591440700, 2, 320x180 
0x0000022530899CD0, 37692343560448704, 591440799, 591440802, 3, 320x180 
0x0000022530899CD0, 37692343561558184, 591440908, 591440910, 2, 320x180 
